trade_num,Flat (No MG),Flat + Skip 2L,MG Next Signal (x1.5),MG Next Signal (x2),MG Next Signal (x3.0),MG1 (x1.5),MG1 (x2),MG1 (x2.5),MG1 (x3.0),MG2 (x1.5),MG2 (x2),MG2 (x2.5),MG2 (x3.0),MG2 + Stop 1L,Masaniello,Masaniello (cap $1000),Masaniello (cap $2000),Masaniello (cap $500),Soros (3-level cap),Soros (Anti-MG)
31,-46.8,-65.6,-59.2,-71.6,-96.4,-19.8,-10.8,-1.8,7.2,-135.0,-215.6,-321.8,-453.6,-150.0,794.13,1335.64,1335.64,1335.64,287.48,287.48
32,-56.8,-75.6,-74.2,-91.6,-126.4,-44.8,-40.8,-36.8,-32.8,-140.2,-210.4,-301.8,-414.4,-141.2,838.13,1415.64,1415.64,1415.64,304.02,304.02
33,-66.8,-66.8,-84.2,-101.6,-136.4,-69.8,-70.8,-71.8,-72.8,-145.4,-205.2,-281.8,-375.2,-132.4,882.13,1494.58,1494.58,1494.58,335.13,335.13
34,-58.0,-76.8,-71.0,-84.0,-110.0,-61.0,-62.0,-63.0,-64.0,-136.6,-196.4,-273.0,-366.4,-202.4,926.13,1572.36,1572.36,1572.36,343.93,343.93
35,-68.0,-68.0,-81.0,-94.0,-120.0,-57.8,-54.4,-51.0,-47.6,-133.4,-188.8,-261.0,-350.0,-193.6,970.13,1648.83,1648.83,1648.83,360.47,360.47
36,-59.2,-59.2,-67.8,-76.4,-93.6,-49.0,-45.6,-42.2,-38.8,-124.6,-180.0,-252.2,-341.2,-186.0,1014.13,1723.83,1723.83,1723.83,391.57,391.57
37,-69.2,-50.4,-77.8,-86.4,-103.6,-45.8,-38.0,-30.2,-22.4,-121.4,-172.4,-240.2,-324.8,-177.2,1058.13,1797.16,1797.16,1797.16,400.37,400.37
38,-60.4,-60.4,-64.6,-68.8,-77.2,-37.0,-29.2,-21.4,-13.6,-112.6,-163.6,-231.4,-316.0,-169.6,1102.13,1868.59,1868.59,1868.59,416.92,416.92
39,-70.4,-51.6,-74.6,-78.8,-87.2,-62.0,-59.2,-56.4,-53.6,-117.8,-158.4,-211.4,-276.8,-162.0,1146.13,1937.82,1937.82,1937.82,448.02,448.02
40,-80.4,-42.8,-89.6,-98.8,-117.2,-87.0,-89.2,-91.4,-93.6,-165.3,-228.4,-308.9,-406.8,-153.2,1096.13,1862.07,1862.07,1862.07,438.02,438.02
41,-90.4,-34.0,-99.6,-108.8,-127.2,-83.8,-81.6,-79.4,-77.2,-162.1,-220.8,-296.9,-390.4,-144.4,1140.13,1934.79,1934.79,1934.79,446.82,446.82
42,-81.6,-25.2,-86.4,-91.2,-100.8,-75.0,-72.8,-70.6,-68.4,-153.3,-212.0,-288.1,-381.6,-135.6,1184.13,2004.79,2004.79,2004.79,463.36,463.36
43,-91.6,-16.4,-96.4,-101.2,-110.8,-100.0,-102.8,-105.6,-108.4,-158.5,-206.8,-268.1,-342.4,-205.6,1228.13,2071.46,2071.46,2071.46,494.47,494.47
44,-82.8,-7.6,-83.2,-83.6,-84.4,-91.2,-94.0,-96.8,-99.6,-149.7,-198.0,-259.3,-333.6,-196.8,1272.13,2133.96,2133.96,2133.96,503.27,503.27
45,-74.0,1.2,-74.4,-74.8,-75.6,-82.4,-85.2,-88.0,-90.8,-140.9,-189.2,-250.5,-324.8,-266.8,1316.13,2191.1,2191.1,2191.1,519.81,519.81
46,-65.2,10.0,-65.6,-66.0,-66.8,-73.6,-76.4,-79.2,-82.0,-132.1,-180.4,-241.7,-316.0,-259.2,1360.13,2241.1,2241.1,2241.1,550.91,550.91
47,-75.2,18.8,-75.6,-76.0,-76.8,-70.4,-68.8,-67.2,-65.6,-128.9,-172.8,-229.7,-299.6,-251.6,1400.13,2281.1,2281.1,2281.1,559.71,559.71
48,-66.4,8.8,-62.4,-58.4,-50.4,-61.6,-60.0,-58.4,-56.8,-120.1,-164.0,-220.9,-290.8,-244.0,1425.13,2306.1,2306.1,2306.1,576.26,576.26
49,-76.4,17.6,-72.4,-68.4,-60.4,-86.6,-90.0,-93.4,-96.8,-125.3,-158.8,-200.9,-251.6,-235.2,1433.93,2314.9,2314.9,2314.9,607.36,607.36
50,-67.6,26.4,-59.2,-50.8,-34.0,-77.8,-81.2,-84.6,-88.0,-116.5,-150.0,-192.1,-242.8,-227.6,1442.73,2323.7,2323.7,2323.7,616.16,616.16
51,-58.8,35.2,-50.4,-42.0,-25.2,-69.0,-72.4,-75.8,-79.2,-107.7,-141.2,-183.3,-234.0,-297.6,1486.73,2403.7,2403.7,2403.7,632.7,632.7
52,-50.0,25.2,-41.6,-33.2,-16.4,-60.2,-63.6,-67.0,-70.4,-98.9,-132.4,-174.5,-225.2,-288.8,1530.73,2482.65,2482.65,2482.65,663.81,663.81
