trade_num,Flat (No MG),Flat + Skip 2L,MG Next Signal (x1.5),MG Next Signal (x2),MG Next Signal (x3.0),MG1 (x1.5),MG1 (x2),MG1 (x2.5),MG1 (x3.0),MG2 (x1.5),MG2 (x2),MG2 (x2.5),MG2 (x3.0),MG2 + Stop 1L,Masaniello,Masaniello (cap $1000),Masaniello (cap $2000),Masaniello (cap $500),Soros (3-level cap),Soros (Anti-MG)
1058,-954.4,-559.6,-1077.4,-1200.4,-1446.4,-1812.4,-2098.4,-2384.4,-2670.4,-1817.8,-2108.0,-2399.4,-2692.0,-2827.6,31114.86,50830.19,50830.19,50830.19,13787.72,13787.72
1059,-964.4,-550.8,-1087.4,-1210.4,-1456.4,-1809.2,-2090.8,-2372.4,-2654.0,-1814.6,-2100.4,-2387.4,-2675.6,-2818.8,31158.86,50910.19,50910.19,50910.19,13796.52,13796.52
1060,-955.6,-542.0,-1074.2,-1192.8,-1430.0,-1800.4,-2082.0,-2363.6,-2645.2,-1805.8,-2091.6,-2378.6,-2666.8,-2810.0,31202.86,50989.14,50989.14,50989.14,13813.06,13813.06
1061,-946.8,-533.2,-1065.4,-1184.0,-1421.2,-1791.6,-2073.2,-2354.8,-2636.4,-1797.0,-2082.8,-2369.8,-2658.0,-2880.0,31246.86,51066.92,51066.92,51066.92,13844.17,13844.17
1062,-956.8,-524.4,-1075.4,-1194.0,-1431.2,-1816.6,-2103.2,-2389.8,-2676.4,-1844.5,-2152.8,-2467.3,-2788.0,-2872.4,31196.86,50980.02,50980.02,50980.02,13834.17,13834.17
1063,-966.8,-515.6,-1090.4,-1214.0,-1461.2,-1841.6,-2133.2,-2424.8,-2716.4,-1892.0,-2222.8,-2564.8,-2918.0,-2863.6,31146.86,50887.69,50887.69,50887.69,13824.17,13824.17
1064,-958.0,-506.8,-1081.6,-1205.2,-1452.4,-1832.8,-2124.4,-2416.0,-2707.6,-1883.2,-2214.0,-2556.0,-2909.2,-2856.0,31190.86,50974.35,50974.35,50974.35,13832.97,13832.97
1065,-968.0,-516.8,-1091.6,-1215.2,-1462.4,-1857.8,-2154.4,-2451.0,-2747.6,-1888.4,-2208.8,-2536.0,-2870.0,-2847.2,31234.86,51060.07,51060.07,51060.07,13849.51,13849.51
1066,-959.2,-508.0,-1078.4,-1197.6,-1436.0,-1849.0,-2145.6,-2442.2,-2738.8,-1879.6,-2200.0,-2527.2,-2861.2,-2839.6,31278.86,51144.68,51144.68,51144.68,13880.61,13880.61
1067,-950.4,-499.2,-1069.6,-1188.8,-1427.2,-1840.2,-2136.8,-2433.4,-2730.0,-1870.8,-2191.2,-2518.4,-2852.4,-2830.8,31322.86,51228.02,51228.02,51228.02,13889.41,13889.41
1068,-960.4,-509.2,-1079.6,-1198.8,-1437.2,-1837.0,-2129.2,-2421.4,-2713.6,-1867.6,-2183.6,-2506.4,-2836.0,-2822.0,31366.86,51309.84,51309.84,51309.84,13905.96,13905.96
1069,-970.4,-500.4,-1094.6,-1218.8,-1467.2,-1833.8,-2121.6,-2409.4,-2697.2,-1864.4,-2176.0,-2494.4,-2819.6,-2816.8,31410.86,51389.84,51389.84,51389.84,13937.06,13937.06
1070,-980.4,-491.6,-1104.6,-1228.8,-1477.2,-1858.8,-2151.6,-2444.4,-2737.2,-1869.6,-2170.8,-2474.4,-2780.4,-2811.6,31454.86,51467.61,51467.61,51467.61,13945.86,13945.86
1071,-990.4,-482.8,-1119.6,-1248.8,-1507.2,-1855.6,-2144.0,-2432.4,-2720.8,-1866.4,-2163.2,-2462.4,-2764.0,-2802.8,31498.86,51542.61,51542.61,51542.61,13962.41,13962.41
1072,-1000.4,-474.0,-1129.6,-1258.8,-1517.2,-1852.4,-2136.4,-2420.4,-2704.4,-1863.2,-2155.6,-2450.4,-2747.6,-2794.0,31542.86,51614.04,51614.04,51614.04,13993.51,13993.51
1073,-1010.4,-484.0,-1144.6,-1278.8,-1547.2,-1877.4,-2166.4,-2455.4,-2744.4,-1910.7,-2225.6,-2547.9,-2877.6,-2785.2,31492.86,51538.28,51538.28,51538.28,13983.51,13983.51
1074,-1001.6,-494.0,-1135.8,-1270.0,-1538.4,-1868.6,-2157.6,-2446.6,-2735.6,-1901.9,-2216.8,-2539.1,-2868.8,-2776.4,31536.86,51618.28,51618.28,51618.28,13992.31,13992.31
1075,-1011.6,-485.2,-1145.8,-1280.0,-1548.4,-1865.4,-2150.0,-2434.6,-2719.2,-1898.7,-2209.2,-2527.1,-2852.4,-2767.6,31580.86,51693.28,51693.28,51693.28,14008.85,14008.85
1076,-1002.8,-476.4,-1132.6,-1262.4,-1522.0,-1856.6,-2141.2,-2425.8,-2710.4,-1889.9,-2200.4,-2518.3,-2843.6,-2758.8,31624.86,51759.95,51759.95,51759.95,14039.95,14039.95
1077,-994.0,-467.6,-1123.8,-1253.6,-1513.2,-1847.8,-2132.4,-2417.0,-2701.6,-1881.1,-2191.6,-2509.5,-2834.8,-2751.2,31668.86,51809.95,51809.95,51809.95,14048.75,14048.75
1078,-1004.0,-458.8,-1133.8,-1263.6,-1523.2,-1872.8,-2162.4,-2452.0,-2741.6,-1928.6,-2261.6,-2607.0,-2964.8,-2746.0,31658.86,51799.95,51799.95,51799.95,14029.95,14029.95
1079,-1014.0,-450.0,-1148.8,-1283.6,-1553.2,-1897.8,-2192.4,-2487.0,-2781.6,-1976.1,-2331.6,-2704.5,-3094.8,-2740.8,31648.86,51789.95,51789.95,51789.95,14019.95,14019.95
1080,-1005.2,-441.2,-1140.0,-1274.8,-1544.4,-1889.0,-2183.6,-2478.2,-2772.8,-1967.3,-2322.8,-2695.7,-3086.0,-2733.2,31692.86,51869.95,51869.95,51869.95,14028.75,14028.75
1081,-1015.2,-432.4,-1150.0,-1284.8,-1554.4,-1885.8,-2176.0,-2466.2,-2756.4,-1964.1,-2315.2,-2683.7,-3069.6,-2724.4,31736.86,51948.9,51948.9,51948.9,14045.3,14045.3
1082,-1006.4,-423.6,-1136.8,-1267.2,-1528.0,-1877.0,-2167.2,-2457.4,-2747.6,-1955.3,-2306.4,-2674.9,-3060.8,-2715.6,31780.86,52026.68,52026.68,52026.68,14076.4,14076.4
1083,-1016.4,-414.8,-1146.8,-1277.2,-1538.0,-1902.0,-2197.2,-2492.4,-2787.6,-2002.8,-2376.4,-2772.4,-3190.8,-2706.8,31730.86,51939.78,51939.78,51939.78,14066.4,14066.4
1084,-1026.4,-406.0,-1161.8,-1297.2,-1568.0,-1927.0,-2227.2,-2527.4,-2827.6,-2050.3,-2446.4,-2869.9,-3320.8,-2698.0,31680.86,51847.45,51847.45,51847.45,14056.4,14056.4
1085,-1017.6,-397.2,-1153.0,-1288.4,-1559.2,-1918.2,-2218.4,-2518.6,-2818.8,-2041.5,-2437.6,-2861.1,-3312.0,-2689.2,31724.86,51934.11,51934.11,51934.11,14065.2,14065.2
1086,-1027.6,-407.2,-1163.0,-1298.4,-1569.2,-1943.2,-2248.4,-2553.6,-2858.8,-2089.0,-2507.6,-2958.6,-3442.0,-2680.4,31674.86,51836.71,51836.71,51836.71,14046.4,14046.4
1087,-1037.6,-398.4,-1178.0,-1318.4,-1599.2,-1968.2,-2278.4,-2588.6,-2898.8,-2094.2,-2502.4,-2938.6,-3402.8,-2671.6,31718.86,51929.02,51929.02,51929.02,14055.2,14055.2
1088,-1028.8,-389.6,-1169.2,-1309.6,-1590.4,-1959.4,-2269.6,-2579.8,-2890.0,-2085.4,-2493.6,-2929.8,-3394.0,-2662.8,31762.86,52020.69,52020.69,52020.69,14071.75,14071.75
1089,-1038.8,-380.8,-1179.2,-1319.6,-1600.4,-1956.2,-2262.0,-2567.8,-2873.6,-2082.2,-2486.0,-2917.8,-3377.6,-2655.2,31806.86,52111.6,52111.6,52111.6,14102.85,14102.85
1090,-1030.0,-372.0,-1166.0,-1302.0,-1574.0,-1947.4,-2253.2,-2559.0,-2864.8,-2073.4,-2477.2,-2909.0,-3368.8,-2646.4,31850.86,52201.6,52201.6,52201.6,14111.65,14111.65
1091,-1040.0,-363.2,-1176.0,-1312.0,-1584.0,-1972.4,-2283.2,-2594.0,-2904.8,-2120.9,-2547.2,-3006.5,-3498.8,-2641.2,31800.86,52100.59,52100.59,52100.59,14092.85,14092.85
1092,-1031.2,-354.4,-1162.8,-1294.4,-1557.6,-1963.6,-2274.4,-2585.2,-2896.0,-2112.1,-2538.4,-2997.7,-3490.0,-2633.6,31844.86,52200.59,52200.59,52200.59,14101.65,14101.65
1093,-1041.2,-345.6,-1172.8,-1304.4,-1567.6,-1988.6,-2304.4,-2620.2,-2936.0,-2117.3,-2533.2,-2977.7,-3450.8,-2624.8,31888.86,52300.59,52300.59,52300.59,14118.19,14118.19
1094,-1032.4,-336.8,-1159.6,-1286.8,-1541.2,-1979.8,-2295.6,-2611.4,-2927.2,-2108.5,-2524.4,-2968.9,-3442.0,-2619.6,31932.86,52400.59,52400.59,52400.59,14149.29,14149.29
1095,-1042.4,-328.0,-1169.6,-1296.8,-1551.2,-2004.8,-2325.6,-2646.4,-2967.2,-2156.0,-2594.4,-3066.4,-3572.0,-2610.8,31882.86,52286.95,52286.95,52286.95,14139.29,14139.29
1096,-1052.4,-319.2,-1184.6,-1316.8,-1581.2,-2001.6,-2318.0,-2634.4,-2950.8,-2152.8,-2586.8,-3054.4,-3555.6,-2602.0,31900.46,52304.55,52304.55,52304.55,14148.09,14148.09
1097,-1043.6,-310.4,-1175.8,-1308.0,-1572.4,-1992.8,-2309.2,-2625.6,-2942.0,-2144.0,-2578.0,-3045.6,-3546.8,-2593.2,31918.06,52322.15,52322.15,52322.15,14164.64,14164.64
1098,-1034.8,-301.6,-1167.0,-1299.2,-1563.6,-1984.0,-2300.4,-2616.8,-2933.2,-2135.2,-2569.2,-3036.8,-3538.0,-2584.4,31935.66,52339.75,52339.75,52339.75,14195.74,14195.74
1099,-1044.8,-292.8,-1177.0,-1309.2,-1573.6,-1980.8,-2292.8,-2604.8,-2916.8,-2132.0,-2561.6,-3024.8,-3521.6,-2576.8,31953.26,52357.35,52357.35,52357.35,14204.54,14204.54
1100,-1036.0,-284.0,-1163.8,-1291.6,-1547.2,-1972.0,-2284.0,-2596.0,-2908.0,-2123.2,-2552.8,-3016.0,-3512.8,-2571.6,31962.06,52366.15,52366.15,52366.15,14221.09,14221.09
1101,-1046.0,-275.2,-1173.8,-1301.6,-1557.2,-1968.8,-2276.4,-2584.0,-2891.6,-2120.0,-2545.2,-3004.0,-3496.4,-2562.8,31970.86,52374.95,52374.95,52374.95,14252.19,14252.19
1102,-1037.2,-285.2,-1160.6,-1284.0,-1530.8,-1960.0,-2267.6,-2575.2,-2882.8,-2111.2,-2536.4,-2995.2,-3487.6,-2555.2,31979.66,52383.75,52383.75,52383.75,14260.99,14260.99
1103,-1047.2,-276.4,-1170.6,-1294.0,-1540.8,-1985.0,-2297.6,-2610.2,-2922.8,-2158.7,-2606.4,-3092.7,-3617.6,-2547.6,31929.66,52292.84,52292.84,52292.84,14242.19,14242.19
1104,-1057.2,-267.6,-1185.6,-1314.0,-1570.8,-2010.0,-2327.6,-2645.2,-2962.8,-2163.9,-2601.2,-3072.7,-3578.4,-2617.6,31973.66,52377.05,52377.05,52377.05,14250.99,14250.99
1105,-1067.2,-258.8,-1195.6,-1324.0,-1580.8,-2006.8,-2320.0,-2633.2,-2946.4,-2160.7,-2593.6,-3060.7,-3562.0,-2610.0,32017.66,52460.38,52460.38,52460.38,14267.53,14267.53
1106,-1058.4,-250.0,-1182.4,-1306.4,-1554.4,-1998.0,-2311.2,-2624.4,-2937.6,-2151.9,-2584.8,-3051.9,-3553.2,-2601.2,32061.66,52542.74,52542.74,52542.74,14298.63,14298.63
1107,-1068.4,-241.2,-1192.4,-1316.4,-1564.4,-1994.8,-2303.6,-2612.4,-2921.2,-2148.7,-2577.2,-3039.9,-3536.8,-2596.0,32105.66,52623.99,52623.99,52623.99,14307.43,14307.43
1108,-1078.4,-251.2,-1207.4,-1336.4,-1594.4,-2019.8,-2333.6,-2647.4,-2961.2,-2196.2,-2647.2,-3137.4,-3666.8,-2587.2,32055.66,52533.08,52533.08,52533.08,14288.63,14288.63
1109,-1088.4,-242.4,-1217.4,-1346.4,-1604.4,-2044.8,-2363.6,-2682.4,-3001.2,-2201.4,-2642.0,-3117.4,-3627.6,-2578.4,32099.66,52618.79,52618.79,52618.79,14297.43,14297.43
1110,-1079.6,-233.6,-1204.2,-1328.8,-1578.0,-2036.0,-2354.8,-2673.6,-2992.4,-2192.6,-2633.2,-3108.6,-3618.8,-2570.8,32143.66,52703.41,52703.41,52703.41,14313.98,14313.98
1111,-1070.8,-224.8,-1195.4,-1320.0,-1569.2,-2027.2,-2346.0,-2664.8,-2983.6,-2183.8,-2624.4,-3099.8,-3610.0,-2563.2,32187.66,52786.74,52786.74,52786.74,14345.08,14345.08
1112,-1062.0,-216.0,-1186.6,-1311.2,-1560.4,-2018.4,-2337.2,-2656.0,-2974.8,-2175.0,-2615.6,-3091.0,-3601.2,-2554.4,32231.66,52868.56,52868.56,52868.56,14353.88,14353.88
1113,-1072.0,-226.0,-1196.6,-1321.2,-1570.4,-2043.4,-2367.2,-2691.0,-3014.8,-2180.2,-2610.4,-3071.0,-3562.0,-2545.6,32275.66,52948.56,52948.56,52948.56,14370.43,14370.43
1114,-1082.0,-217.2,-1211.6,-1341.2,-1600.4,-2040.2,-2359.6,-2679.0,-2998.4,-2177.0,-2602.8,-3059.0,-3545.6,-2536.8,32319.66,53026.34,53026.34,53026.34,14401.53,14401.53
1115,-1073.2,-227.2,-1202.8,-1332.4,-1591.6,-2031.4,-2350.8,-2670.2,-2989.6,-2168.2,-2594.0,-3050.2,-3536.8,-2528.0,32363.66,53101.34,53101.34,53101.34,14410.33,14410.33
1116,-1064.4,-218.4,-1194.0,-1323.6,-1582.8,-2022.6,-2342.0,-2661.4,-2980.8,-2159.4,-2585.2,-3041.4,-3528.0,-2519.2,32407.66,53172.76,53172.76,53172.76,14426.87,14426.87
1117,-1074.4,-209.6,-1204.0,-1333.6,-1592.8,-2047.6,-2372.0,-2696.4,-3020.8,-2206.9,-2655.2,-3138.9,-3658.0,-2589.2,32357.66,53097.01,53097.01,53097.01,14391.53,14391.53
1118,-1065.6,-200.8,-1190.8,-1316.0,-1566.4,-2038.8,-2363.2,-2687.6,-3012.0,-2198.1,-2646.4,-3130.1,-3649.2,-2584.0,32401.66,53177.01,53177.01,53177.01,14400.33,14400.33
1119,-1075.6,-192.0,-1200.8,-1326.0,-1576.4,-2063.8,-2393.2,-2722.6,-3052.0,-2245.6,-2716.4,-3227.6,-3779.2,-2654.0,32351.66,53091.78,53091.78,53091.78,14381.53,14381.53
1120,-1066.8,-183.2,-1187.6,-1308.4,-1550.0,-2055.0,-2384.4,-2713.8,-3043.2,-2236.8,-2707.6,-3218.8,-3770.4,-2724.0,32395.66,53191.78,53191.78,53191.78,14390.33,14390.33
1121,-1058.0,-174.4,-1178.8,-1299.6,-1541.2,-2046.2,-2375.6,-2705.0,-3034.4,-2228.0,-2698.8,-3210.0,-3761.6,-2715.2,32439.66,53271.78,53271.78,53271.78,14406.87,14406.87
1122,-1049.2,-165.6,-1170.0,-1290.8,-1532.4,-2037.4,-2366.8,-2696.2,-3025.6,-2219.2,-2690.0,-3201.2,-3752.8,-2706.4,32483.66,53350.73,53350.73,53350.73,14437.98,14437.98
1123,-1040.4,-156.8,-1161.2,-1282.0,-1523.6,-2028.6,-2358.0,-2687.4,-3016.8,-2210.4,-2681.2,-3192.4,-3744.0,-2697.6,32527.66,53428.51,53428.51,53428.51,14446.78,14446.78
1124,-1050.4,-148.0,-1171.2,-1292.0,-1533.6,-2025.4,-2350.4,-2675.4,-3000.4,-2207.2,-2673.6,-3180.4,-3727.6,-2690.0,32571.66,53504.98,53504.98,53504.98,14463.32,14463.32
1125,-1060.4,-139.2,-1186.2,-1312.0,-1563.6,-2022.2,-2342.8,-2663.4,-2984.0,-2204.0,-2666.0,-3168.4,-3711.2,-2681.2,32615.66,53579.98,53579.98,53579.98,14494.42,14494.42
1126,-1051.6,-130.4,-1177.4,-1303.2,-1554.8,-2013.4,-2334.0,-2654.6,-2975.2,-2195.2,-2657.2,-3159.6,-3702.4,-2672.4,32659.66,53653.31,53653.31,53653.31,14503.22,14503.22
1127,-1061.6,-140.4,-1187.4,-1313.2,-1564.8,-2038.4,-2364.0,-2689.6,-3015.2,-2242.7,-2727.2,-3257.1,-3832.4,-2667.2,32609.66,53572.14,53572.14,53572.14,14484.42,14484.42
1128,-1052.8,-131.6,-1174.2,-1295.6,-1538.4,-2029.6,-2355.2,-2680.8,-3006.4,-2233.9,-2718.4,-3248.3,-3823.6,-2658.4,32653.66,53649.06,53649.06,53649.06,14493.22,14493.22
1129,-1044.0,-122.8,-1165.4,-1286.8,-1529.6,-2020.8,-2346.4,-2672.0,-2997.6,-2225.1,-2709.6,-3239.5,-3814.8,-2650.8,32697.66,53724.06,53724.06,53724.06,14509.77,14509.77
1130,-1035.2,-114.0,-1156.6,-1278.0,-1520.8,-2012.0,-2337.6,-2663.2,-2988.8,-2216.3,-2700.8,-3230.7,-3806.0,-2645.6,32741.66,53796.79,53796.79,53796.79,14540.87,14540.87
1131,-1026.4,-105.2,-1147.8,-1269.2,-1512.0,-2003.2,-2328.8,-2654.4,-2980.0,-2207.5,-2692.0,-3221.9,-3797.2,-2638.0,32785.66,53866.79,53866.79,53866.79,14549.67,14549.67
1132,-1036.4,-96.4,-1157.8,-1279.2,-1522.0,-2000.0,-2321.2,-2642.4,-2963.6,-2204.3,-2684.4,-3209.9,-3780.8,-2630.4,32829.66,53933.46,53933.46,53933.46,14566.21,14566.21
1133,-1027.6,-106.4,-1144.6,-1261.6,-1495.6,-1991.2,-2312.4,-2633.6,-2954.8,-2195.5,-2675.6,-3201.1,-3772.0,-2621.6,32873.66,53995.96,53995.96,53995.96,14597.32,14597.32
1134,-1018.8,-97.6,-1135.8,-1252.8,-1486.8,-1982.4,-2303.6,-2624.8,-2946.0,-2186.7,-2666.8,-3192.3,-3763.2,-2614.0,32917.66,54053.1,54053.1,54053.1,14606.12,14606.12
1135,-1010.0,-88.8,-1127.0,-1244.0,-1478.0,-1973.6,-2294.8,-2616.0,-2937.2,-2177.9,-2658.0,-3183.5,-3754.4,-2606.4,32961.66,54103.1,54103.1,54103.1,14622.66,14622.66
1136,-1020.0,-80.0,-1137.0,-1254.0,-1488.0,-1970.4,-2287.2,-2604.0,-2920.8,-2174.7,-2650.4,-3171.5,-3738.0,-2598.8,33001.66,54143.1,54143.1,54143.1,14653.76,14653.76
1137,-1030.0,-90.0,-1152.0,-1274.0,-1518.0,-1967.2,-2279.6,-2592.0,-2904.4,-2171.5,-2642.8,-3159.5,-3721.6,-2590.0,33026.66,54168.1,54168.1,54168.1,14662.56,14662.56
1138,-1040.0,-81.2,-1162.0,-1284.0,-1528.0,-1992.2,-2309.6,-2627.0,-2944.4,-2176.7,-2637.6,-3139.5,-3682.4,-2581.2,33035.46,54176.9,54176.9,54176.9,14679.11,14679.11
1139,-1031.2,-72.4,-1148.8,-1266.4,-1501.6,-1983.4,-2300.8,-2618.2,-2935.6,-2167.9,-2628.8,-3130.7,-3673.6,-2572.4,33044.26,54185.7,54185.7,54185.7,14710.21,14710.21
1140,-1041.2,-63.6,-1158.8,-1276.4,-1511.6,-1980.2,-2293.2,-2606.2,-2919.2,-2164.7,-2621.2,-3118.7,-3657.2,-2563.6,33053.06,54194.5,54194.5,54194.5,14719.01,14719.01
1141,-1051.2,-54.8,-1173.8,-1296.4,-1541.6,-2005.2,-2323.2,-2641.2,-2959.2,-2169.9,-2616.0,-3098.7,-3618.0,-2556.0,33061.86,54203.3,54203.3,54203.3,14735.55,14735.55
1142,-1061.2,-64.8,-1183.8,-1306.4,-1551.6,-2030.2,-2353.2,-2676.2,-2999.2,-2175.1,-2610.8,-3078.7,-3578.8,-2547.2,33105.86,54283.3,54283.3,54283.3,14766.66,14766.66
1143,-1071.2,-56.0,-1198.8,-1326.4,-1581.6,-2027.0,-2345.6,-2664.2,-2982.8,-2171.9,-2603.2,-3066.7,-3562.4,-2542.0,33149.86,54362.25,54362.25,54362.25,14775.46,14775.46
1144,-1081.2,-47.2,-1208.8,-1336.4,-1591.6,-2052.0,-2375.6,-2699.2,-3022.8,-2219.4,-2673.2,-3164.2,-3692.4,-2536.8,33099.86,54273.86,54273.86,54273.86,14756.66,14756.66
1145,-1091.2,-38.4,-1223.8,-1356.4,-1621.6,-2077.0,-2405.6,-2734.2,-3062.8,-2266.9,-2743.2,-3261.7,-3822.4,-2528.0,33049.86,54180.28,54180.28,54180.28,14746.66,14746.66
1146,-1082.4,-48.4,-1215.0,-1347.6,-1612.8,-2068.2,-2396.8,-2725.4,-3054.0,-2258.1,-2734.4,-3252.9,-3813.6,-2520.4,33093.86,54267.78,54267.78,54267.78,14755.46,14755.46
1147,-1073.6,-39.6,-1206.2,-1338.8,-1604.0,-2059.4,-2388.0,-2716.6,-3045.2,-2249.3,-2725.6,-3244.1,-3804.8,-2511.6,33137.86,54354.45,54354.45,54354.45,14772.0,14772.0
1148,-1083.6,-49.6,-1216.2,-1348.8,-1614.0,-2056.2,-2380.4,-2704.6,-3028.8,-2246.1,-2718.0,-3232.1,-3788.4,-2506.4,33181.86,54440.16,54440.16,54440.16,14803.1,14803.1
1149,-1074.8,-59.6,-1203.0,-1331.2,-1587.6,-2047.4,-2371.6,-2695.8,-3020.0,-2237.3,-2709.2,-3223.3,-3779.6,-2497.6,33225.86,54524.78,54524.78,54524.78,14811.9,14811.9
1150,-1084.8,-69.6,-1213.0,-1341.2,-1597.6,-2072.4,-2401.6,-2730.8,-3060.0,-2242.5,-2704.0,-3203.3,-3740.4,-2567.6,33269.86,54608.11,54608.11,54608.11,14828.45,14828.45
1151,-1094.8,-79.6,-1228.0,-1361.2,-1627.6,-2069.2,-2394.0,-2718.8,-3043.6,-2239.3,-2696.4,-3191.3,-3724.0,-2560.0,33313.86,54689.93,54689.93,54689.93,14859.55,14859.55
1152,-1086.0,-89.6,-1219.2,-1352.4,-1618.8,-2060.4,-2385.2,-2710.0,-3034.8,-2230.5,-2687.6,-3182.5,-3715.2,-2554.8,33357.86,54769.93,54769.93,54769.93,14868.35,14868.35
1153,-1096.0,-80.8,-1229.2,-1362.4,-1628.8,-2085.4,-2415.2,-2745.0,-3074.8,-2278.0,-2757.6,-3280.0,-3845.2,-2624.8,33307.86,54681.54,54681.54,54681.54,14849.55,14849.55
1154,-1106.0,-90.8,-1244.2,-1382.4,-1658.8,-2110.4,-2445.2,-2780.0,-3114.8,-2325.5,-2827.6,-3377.5,-3975.2,-2616.0,33257.86,54582.11,54582.11,54582.11,14839.55,14839.55
1155,-1116.0,-82.0,-1254.2,-1392.4,-1668.8,-2107.2,-2437.6,-2768.0,-3098.4,-2322.3,-2820.0,-3365.5,-3958.8,-2607.2,33301.86,54682.11,54682.11,54682.11,14848.35,14848.35
1156,-1126.0,-92.0,-1269.2,-1412.4,-1698.8,-2132.2,-2467.6,-2803.0,-3138.4,-2369.8,-2890.0,-3463.0,-4088.8,-2602.0,33251.86,54568.48,54568.48,54568.48,14829.55,14829.55
1157,-1136.0,-102.0,-1279.2,-1422.4,-1708.8,-2129.0,-2460.0,-2791.0,-3122.0,-2366.6,-2882.4,-3451.0,-4072.4,-2593.2,33269.46,54586.08,54586.08,54586.08,14838.35,14838.35
1158,-1127.2,-93.2,-1266.0,-1404.8,-1682.4,-2120.2,-2451.2,-2782.2,-3113.2,-2357.8,-2873.6,-3442.2,-4063.6,-2588.0,33287.06,54603.68,54603.68,54603.68,14854.89,14854.89
1159,-1118.4,-103.2,-1257.2,-1396.0,-1673.6,-2111.4,-2442.4,-2773.4,-3104.4,-2349.0,-2864.8,-3433.4,-4054.8,-2582.8,33304.66,54621.28,54621.28,54621.28,14886.0,14886.0
1160,-1128.4,-94.4,-1267.2,-1406.0,-1683.6,-2108.2,-2434.8,-2761.4,-3088.0,-2345.8,-2857.2,-3421.4,-4038.4,-2574.0,33322.26,54638.88,54638.88,54638.88,14894.8,14894.8
1161,-1119.6,-104.4,-1254.0,-1388.4,-1657.2,-2099.4,-2426.0,-2752.6,-3079.2,-2337.0,-2848.4,-3412.6,-4029.6,-2568.8,33366.26,54718.88,54718.88,54718.88,14911.34,14911.34
1162,-1110.8,-114.4,-1245.2,-1379.6,-1648.4,-2090.6,-2417.2,-2743.8,-3070.4,-2328.2,-2839.6,-3403.8,-4020.8,-2561.2,33410.26,54797.82,54797.82,54797.82,14942.44,14942.44
1163,-1102.0,-124.4,-1236.4,-1370.8,-1639.6,-2081.8,-2408.4,-2735.0,-3061.6,-2319.4,-2830.8,-3395.0,-4012.0,-2552.4,33454.26,54875.6,54875.6,54875.6,14951.24,14951.24
1164,-1112.0,-134.4,-1246.4,-1380.8,-1649.6,-2078.6,-2400.8,-2723.0,-3045.2,-2316.2,-2823.2,-3383.0,-3995.6,-2544.8,33498.26,54952.07,54952.07,54952.07,14967.79,14967.79
1165,-1103.2,-125.6,-1233.2,-1363.2,-1623.2,-2069.8,-2392.0,-2714.2,-3036.4,-2307.4,-2814.4,-3374.2,-3986.8,-2537.2,33542.26,55027.07,55027.07,55027.07,14998.89,14998.89
1166,-1094.4,-116.8,-1224.4,-1354.4,-1614.4,-2061.0,-2383.2,-2705.4,-3027.6,-2298.6,-2805.6,-3365.4,-3978.0,-2529.6,33586.26,55100.41,55100.41,55100.41,15007.69,15007.69
1167,-1104.4,-108.0,-1234.4,-1364.4,-1624.4,-2057.8,-2375.6,-2693.4,-3011.2,-2295.4,-2798.0,-3353.4,-3961.6,-2520.8,33630.26,55171.83,55171.83,55171.83,15024.23,15024.23
1168,-1095.6,-99.2,-1221.2,-1346.8,-1598.0,-2049.0,-2366.8,-2684.6,-3002.4,-2286.6,-2789.2,-3344.6,-3952.8,-2512.0,33674.26,55241.07,55241.07,55241.07,15055.34,15055.34
1169,-1086.8,-109.2,-1212.4,-1338.0,-1589.2,-2040.2,-2358.0,-2675.8,-2993.6,-2277.8,-2780.4,-3335.8,-3944.0,-2504.4,33718.26,55307.73,55307.73,55307.73,15064.14,15064.14
1170,-1078.0,-100.4,-1203.6,-1329.2,-1580.4,-2031.4,-2349.2,-2667.0,-2984.8,-2269.0,-2771.6,-3327.0,-3935.2,-2495.6,33762.26,55371.37,55371.37,55371.37,15080.68,15080.68
1171,-1088.0,-110.4,-1213.6,-1339.2,-1590.4,-2056.4,-2379.2,-2702.0,-3024.8,-2274.2,-2766.4,-3307.0,-3896.0,-2486.8,33806.26,55431.37,55431.37,55431.37,15111.78,15111.78
1172,-1098.0,-120.4,-1228.6,-1359.2,-1620.4,-2081.4,-2409.2,-2737.0,-3064.8,-2279.4,-2761.2,-3287.0,-3856.8,-2479.2,33850.26,55486.92,55486.92,55486.92,15120.58,15120.58
1173,-1108.0,-130.4,-1238.6,-1369.2,-1630.4,-2078.2,-2401.6,-2725.0,-3048.4,-2276.2,-2753.6,-3275.0,-3840.4,-2471.6,33894.26,55536.92,55536.92,55536.92,15137.13,15137.13
1174,-1099.2,-121.6,-1225.4,-1351.6,-1604.0,-2069.4,-2392.8,-2716.2,-3039.6,-2267.4,-2744.8,-3266.2,-3831.6,-2541.6,33937.12,55579.78,55579.78,55579.78,15168.23,15168.23
1175,-1090.4,-131.6,-1216.6,-1342.8,-1595.2,-2060.6,-2384.0,-2707.4,-3030.8,-2258.6,-2736.0,-3257.4,-3822.8,-2534.0,33970.45,55613.11,55613.11,55613.11,15177.03,15177.03
